timestamp,overlay_accuracy_nm,focus_depth_nm,dose_uniformity_pct,temperature_c,pressure_mbar
2025-10-08T11:00:00,2.1,45.3,98.5,22.1,1.2
2025-10-08T11:01:00,3.8,52.4,97.2,23.5,1.3
2025-10-08T11:02:00,4.2,58.1,96.8,24.1,1.4
2025-10-08T11:03:00,4.5,62.3,96.3,24.8,1.5
2025-10-08T11:04:00,5.1,68.7,95.9,25.2,1.6
2025-10-08T11:05:00,5.8,74.2,95.1,25.9,1.7
2025-10-08T11:06:00,6.3,79.5,94.6,26.3,1.8
2025-10-08T11:07:00,6.9,85.1,93.8,26.8,1.9
2025-10-08T11:08:00,7.4,91.2,93.1,27.2,2.0
2025-10-08T11:09:00,8.1,96.8,92.3,27.8,2.1


